Kabupaten/Kota,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60
Fakak,5.49,1.91,111.56,8.2,68.41,11.29,44.3,98.58,1.42,25.6,74.4,87.11,98.71,0.92,1.49,80.96,17.54,18.07,98.58,97.41,89.84,96.19,74.93,66.66,14.09,8.64,17.62,22.23,29.24,18.43,12.48,66.85,11.08,19.09,13.77,67.14,50.37,49.63,544783,23.25,1332250.34,0.37,99.6,0.4,98.19,1.81,99.62,0.38,71.93,9.05,83.61,7.34,86.21,13.7,92.98,50.79,10.88,74.85,18.93,53.58
Kaimana,3.71,2.77,114.31,6.28,64.64,14.1,30.98,90.99,9.01,34.88,65.12,66.67,98.21,1.55,1.13,73.06,25.81,25.21,98.55,98.73,75.66,96.9,58.63,52.76,11.98,8.28,22.4,20.95,28.9,13.93,13.82,72.09,6.36,39.68,10.96,49.36,35.95,64.05,412130,16.11,1093086.89,0.43,98.71,1.29,99.46,0.54,97.76,2.24,48.27,4.92,64.58,30.5,68.48,30.59,94.31,39.19,11.49,58.56,11.4,28.29
Teluk Wondama,8.23,2.33,113.97,3.39,59.93,10.38,35.93,91.46,8.54,30.53,69.47,89.08,97.95,2.05,0.37,67.32,32.31,29.82,97.32,97,71.28,92.13,66.36,39.52,11.34,6.87,24.14,21.82,27.61,13.32,13.11,70.57,3.23,32.92,18.51,48.57,38.64,61.36,557702,32.42,1358389.21,0.44,97.46,2.54,97.54,2.46,98.89,1.11,28.09,12.1,70.15,17.75,47.4,48.84,97.01,40.37,15.53,65.13,13.23,22.83
Teluk Bintuni,3.09,2.27,122.77,6.71,60.6,12.58,47.3,97.76,2.24,29.71,70.29,94.13,97.56,2.36,1.88,70.81,27.31,17.21,95.73,95.46,71.71,93.7,66.18,57.39,12.17,7.95,18.44,22.31,33.74,25.51,11.93,67.09,8.03,26.3,17.51,56.19,54.56,45.44,644838,30.57,1478020.77,0.34,96.27,3.73,98.46,1.54,99.2,0.8,52.08,2.7,75.23,22.07,63.49,33.14,95.01,18.36,12.26,76.59,15.77,19.41
Manokwari,55.66,2.81,112.98,18.48,68.56,9.46,48.22,97,3,29.68,70.32,112.4,97.36,2.62,1.95,71.16,26.89,24.6,95.17,96.41,86.28,92.83,75.77,69.16,13.64,8.16,15.29,21.32,34.18,16.3,12.91,67.48,6.92,24.97,16.04,58.99,54.84,45.16,629074,21.06,1573407.45,0.37,99.65,0.35,99.31,0.69,98.86,1.14,45.19,0.26,97.47,2.27,84.54,13.34,97.08,22.81,9.76,80.96,20.3,57.77
Sorong Selatan,7.12,2.33,109.23,4.89,66.15,8.14,26.64,84.7,15.3,27.45,72.55,70.35,97.28,2.72,0.79,78.97,20.23,33.73,99.37,97.99,80.3,93.69,55.92,55.46,12.88,7.26,26.38,20.83,21.89,13.96,16.94,77.81,3.8,59.29,6.54,34.17,30.1,69.9,323369,18.41,1075383.84,0.35,93.13,6.87,93.86,6.14,94.42,5.58,49.83,8.33,60.73,30.94,52.04,47.78,86.79,47.82,8.79,48.87,7.87,39.77
Sorong ,13.59,2.55,111.53,9.27,66.02,12.25,60.6,97.43,2.57,21.7,78.3,87.94,97.57,2.43,0.45,77.29,22.26,22.3,99.01,96.55,88.29,95.66,73.78,65.33,13.43,8.02,24.58,24.26,32.3,8.81,10.05,68.37,2.94,34.04,21.92,44.04,40.85,59.15,357900,28.61,1343330.23,0.4,99.83,0.17,100,0,96.46,3.54,53.18,2.16,89.32,8.52,78.17,21.71,97.29,59.73,18.15,78.37,12.38,5.03
Raja Ampat,6.04,1.59,112.69,5.05,64.7,15.66,37.14,98.53,1.47,33.3,66.7,91.34,99.02,0.94,1.75,69.56,28.68,15.49,95.41,94.69,67.82,93.54,50.84,47.13,12.02,7.8,26.4,21.96,28.08,11.26,12.3,67.98,2.19,33.62,21.92,44.46,45.24,54.76,347203,17.16,1211346.76,0.4,97.6,2.4,99.47,0.53,97.12,2.88,39.66,11.3,45.48,43.22,49.02,50.65,97.59,54.91,7.3,66.62,9.36,5.86
Tambrauw,1.2,6.65,105.58,1.45,59.96,4.36,17.09,81.53,18.46,26.62,73.38,40.62,93.02,6.98,2.8,78.93,18.27,20.07,96.01,96.14,82.02,92.83,58.36,48.27,11.62,5.07,29.93,16.96,22.81,7.69,22.61,76.2,2.02,56.72,11.63,31.65,24.44,75.56,362884,33.66,526347.43,0.28,97.92,2.08,96.95,3.05,96.68,3.32,32.46,24.91,22.7,52.39,13.38,86.62,88.4,43,0.66,46.1,4.15,38.82
Maybrat,7.49,2.3,103.23,4.26,65.17,12.98,51.78,94.69,5.31,33.77,66.23,78.62,95.7,4.27,1.21,78,20.79,38.83,99.48,97.02,81.77,97.74,86.53,67.95,12.91,6.67,20.69,17.1,21.97,24.58,15.66,73.09,0.47,64.07,8.64,27.28,26.3,73.7,259500,32.2,1187456.22,0.37,99.55,0.45,99.57,0.43,97.09,2.91,17.39,19.42,55.8,24.78,54.34,45.41,92.21,57.04,4.04,72.4,10.58,34.12
Manokwari Selatan,8.61,2.24,108.02,2.52,67.48,8.9,27.31,85.09,14.91,34.47,65.53,101.16,92.06,7.9,6.23,69.73,24.04,27.07,93.66,93.04,66.3,93.42,73.07,47.85,12.33,6.57,18.76,20.06,29.07,12.18,19.93,81.37,2.44,36.6,9.16,54.23,44.5,55.5,635595,29.94,1205389.51,0.41,98.28,1.72,97.35,2.65,99.62,0.38,56.55,2.95,90.6,6.45,57.43,41.38,92.84,37.04,13.41,60.34,11.8,41.06
Pegunungan Arfak,10.39,1.23,98.83,3,67.18,7.64,2.24,37.33,62.67,38.63,61.37,40.34,89.34,10.36,4.54,67.44,28.02,20.81,95.92,92.58,77.44,95.92,51.06,48.93,11.62,5.08,22.24,19.19,16.6,10.37,31.6,91.7,0.21,90.59,0,9.41,9.28,90.72,628281,34.83,478052.48,0.27,97.04,2.96,83.58,16.42,91.81,8.19,62.28,43.24,7.5,49.26,6.57,93.43,69.48,60.17,1.46,34.94,3.11,46.37
Kota Sorong,387.27,3.1,108.75,26.5,70.46,10.24,40.74,98.09,1.91,25.16,74.84,102.63,99.27,0.73,0.25,77.12,22.63,28.32,99.66,96.89,82.94,91.4,72.57,71.34,14.22,11.05,13.51,22.29,41.72,14.69,7.79,61.62,9.55,7.43,13.15,79.42,67.13,32.87,725117,15.45,1570003.18,0.33,99.62,0.38,99.62,0.38,99.37,0.63,20.19,0.08,99.77,0.15,95.73,1.64,99.74,13.79,8.66,82.68,13.7,43.46
